epoch_time,chia_farmed,num_plots,plots_size_PiB,net_size_PiB,win_prob
1618899589.0,0.0,0,0,386.2970201935174,0
1618919520.0,0.0,0,0,435.086279608251,0
1618942543.0,0.0,0,0,383.6691634935944,0
1618962746.0,0.0,0,0,450.8075135396319,0
1618986228.0,0.0,0,0,468.33701775396435,0
1619005950.0,0.0,0,0,463.16380827596055,0
1619030429.0,0.0,0,0,498.72256037255306,0
1619049134.0,0.0,0,0,473.89807028982756,0
1619092315.0,0.0,0,0,500.9011089470702,0
1619113921.0,0.0,0,0,526.0592549959454,0
1619135560.0,0.0,0,0,598.495489482827,0
1619160021.0,0.0,0,0,582.8963199263225,0
1619178720.0,0.0,0,0,536.3412416939908,0
1619200342.0,0.0,0,0,558.5561252942902,0
1619221963.0,0.0,0,0,646.2908286539883,0
1619245385.0,0.0,0,0,576.1389616581394,0
1619265149.0,0.0,0,0,667.7903269950259,0
1619287474.0,0.0,0,0,710.3986805515777,0
1619308305.0,0.0,0,0,608.6804959939057,0
1619329906.0,0.0,0,0,697.505761908699,0
1619353596.0,0.0,0,0,691.5985900231976,0
1619373109.0,0.0,0,0,729.44533287393,0
1619397425.0,0.0,0,0,786.343888660111,0
1619416321.0,0.0,0,0,777.4417159408165,0
1619437932.0,0.0,0,0,793.1586601029773,0
1619460478.0,0.0,0,0,972.7775391918857,0
1619481162.0,0.0,0,0,853.6915947293768,0
1619524335.0,0.0,0,0,778.1077070450044,0
1619545943.0,0.0,0,0,899.61323418679,0
1619578972.0,0.0,0,0,980.0444379967397,0
1619610769.0,0.0,0,0,952.9747587979228,0
1619637036.0,0.0,0,0,955.07673571086,0
1619653913.0,0.0,0,0,1143.8120481376702,0
1619675573.0,0.0,0,0,1015.172236425895,0
1619699461.0,0.0,0,0,1148.8461025310082,0
1619718734.0,0.0,0,0,1205.7325482976262,0
1619740335.0,0.0,0,0,1180.864438665199,0
1619762834.0,0.0,0,0,1211.9137922145546,0
1619783493.0,0.0,0,0,1249.364773450565,0
1619805124.0,0.0,0,0,1285.497497902097,0
1619826800.0,0.0,0,0,1331.898956382609,0
1619848290.0,0.0,0,0,1350.5095202199695,0
1619873331.0,0.0,0,0,1382.4528829065737,0
1619891543.0,0.0,0,0,1445.6893444914651,0
1619913149.0,0.0,0,0,1504.4910722095058,0
1619936457.0,0.0,0,0,1529.3605913723538,0
1619956336.0,0.0,0,0,1580.3804306073314,0
1619979308.0,0.0,0,0,1637.0970016637532,0
1619999475.0,0.0,0,0,1708.7979820987591,0
1620021119.0,0.0,0,0,1725.8829577299962,0
1620042726.0,0.0,0,0,1767.1820626661654,0
1620085926.0,0.0,0,0,1756.0085707466617,0
1620110542.0,0.0,0,0,1845.911030021973,0
1620129121.0,0.0,0,0,1907.1724132530956,0
1620151299.0,0.0,0,0,2074.959133249879,0
1620172348.0,0.0,0,0,2108.025585046967,0
1620195932.0,0.0,0,0,2165.744547093934,0
1620215504.0,0.0,0,0,2186.773798357013,0
1620237148.0,0.0,0,0,2312.5944503742903,0
1620260833.0,0.0,0,0,2398.1552064130988,0
1620280296.0,0.0,0,0,2448.9878466660925,0
1620301923.0,0.0,0,0,2533.4736015442118,0
1620325272.0,0.0,0,0,2577.3633625033485,0
1620345111.0,0.0,0,0,2669.5638616286574,0
1620366972.0,0.0,0,0,2686.834845350774,0
1620388277.0,0.0,0,0,2730.6648648653063,0
1620409908.0,0.0,0,0,2747.1414689659096,0
1620431528.0,0.0,0,0,2787.7069398707354,0
1620453143.0,0.0,0,0,2905.7544310728204,0
1620475374.0,0.0,0,0,2949.6886467675026,0
1620496290.0,0.0,0,0,3024.682019790328,0
1620518585.0,0.0,0,0,3140.890806384099,0
1620539490.0,0.0,0,0,3209.1647108092675,0
1620561133.0,0.0,0,0,3219.636031365734,0
1620582776.0,0.0,0,0,3001.008047785126,0
1620625874.0,0.0,0,0,2774.5583301172155,0
1620647503.0,0.0,0,0,2709.446780771417,0
1620669118.0,0.0,0,0,2749.231472321997,0
1620693921.0,0.0,0,0,3188.5170440520565,0
1620712261.0,0.0,0,0,3279.4702347112234,0
1620733882.0,0.0,0,0,3403.152037945572,0
1620755529.0,0.0,0,0,3511.357792045685,0
1620778592.0,0.0,0,0,3686.8199288633027,0
1620798701.0,0.0,0,0,3820.95486127796,0
1620820334.0,0.0,0,0,3954.03481309894,0
1620844263.0,0.0,0,0,4010.134986911127,0
1620863482.0,0.0,0,0,4114.288666283791,0
1620885133.0,0.0,0,0,4148.297239899384,0
1620908504.0,0.0,0,0,4286.848498953576,0
1620928293.0,0.0,0,0,4354.534085615982,0
1620971447.0,0.0,0,0,4545.98891232017,0
1620993092.0,0.0,0,0,4638.4666712229,0
1621014730.0,0.0,0,0,4783.141147076541,0
1621037073.0,0.0,0,0,4877.777020786293,0
1621057852.0,0.0,0,0,5032.673861650741,0
1621080539.0,0.0,0,0,5021.788177878253,0
1621101024.0,0.0,0,0,5133.342740365562,0
1621122940.0,0.0,0,0,5327.240341507346,0
1621143941.0,0.0,0,0,5391.070002083748,0
1621167086.0,0.0,0,0,5571.74890331005,0
1621187068.0,0.0,0,0,5758.022443510796,0
1621208683.0,0.0,0,0,5864.524316875572,0
1621230327.0,0.0,0,0,5965.090369780206,0
1621252222.0,0.0,0,0,6103.595682343957,0
1621274546.0,0.0,0,0,6217.83354028952,0
1621292701,0.0,158,.015273437500000,6342.070,.000002408273245
1621293001,0.0,158,.015273437500000,6342.279,.000002408193884
1621293301,0.0,158,.015273437500000,6340.565,.000002408844874
1621293601,0.0,158,.015273437500000,6356.352,.000002402862129
1621293901,0.0,158,.015273437500000,6358.412,.000002402083649
1621294201,0.0,159,.015370117187500,6342.992,.000002423165154
1621294501,0.0,159,.015370117187500,6339.112,.000002424648308
1621294801,0.0,159,.015370117187500,6339.843,.000002424368740
1621295101,0.0,159,.015370117187500,6339.178,.000002424623064
1621295401,0.0,160,.015466796875000,6342.659,.000002438535143
1621295701,0.0,160,.015466796875000,6339.613,.000002439706788
1621296001,0.0,160,.015466796875000,6331.626,.000002442784345
1621296301,0.0,160,.015466796875000,6326.567,.000002444737702
1621296601,0.0,160,.015466796875000,6329.976,.000002443421092
1621296901,0.0,160,.015466796875000,6316.097,.000002448790269
1621297201,0.0,160,.015466796875000,6317.684,.000002448175134
1621297501,0.0,160,.015466796875000,6320.771,.000002446979470
1621297801,0.0,160,.015466796875000,6329.128,.000002443748471
1621298101,0.0,160,.015466796875000,6320.434,.000002447109941
1621298401,0.0,160,.015466796875000,6310.765,.000002450859265
1621298701,0.0,161,.015563476562500,6317.312,.000002463623224
1621299001,0.0,161,.015563476562500,6322.771,.000002461496164
1621299301,0.0,161,.015563476562500,6318.704,.000002463080492
1621299601,0.0,160,.015466796875000,6320.221,.000002447192412
1621299901,0.0,161,.015563476562500,6320.551,.000002462360728
1621300201,0.0,161,.015563476562500,6321.419,.000002462022619
1621300501,0.0,161,.015563476562500,6328.220,.000002459376659
1621300801,0.0,161,.015563476562500,6323.724,.000002461125210
1621301101,0.0,161,.015563476562500,6337.547,.000002455757182
1621301401,0.0,161,.015563476562500,6325.450,.000002460453653
1621301701,0.0,161,.015563476562500,6327.602,.000002459616859
1621302001,0.0,161,.015563476562500,6336.561,.000002456139310
1621302301,0.0,161,.015563476562500,6326.118,.000002460193844
1621302601,0.0,161,.015563476562500,6329.563,.000002458854831
1621302901,0.0,161,.015563476562500,6335.026,.000002456734441
1621303202,0.0,161,.015563476562500,6330.245,.000002458589922
1621303501,0.0,161,.015563476562500,6335.020,.000002456736768
1621303801,0.0,161,.015563476562500,6352.291,.000002450057241
1621304101,0.0,161,.015563476562500,6357.365,.000002448101778
1621304401,0.0,161,.015563476562500,6361.852,.000002446375137
1621304701,0.0,161,.015563476562500,6357.328,.000002448116026
1621305001,0.0,161,.015563476562500,6359.619,.000002447234113
1621305301,0.0,161,.015563476562500,6362.495,.000002446127904
1621305601,0.0,161,.015563476562500,6380.871,.000002439083404
1621305901,0.0,161,.015563476562500,6387.902,.000002436398767
1621306201,0.0,161,.015563476562500,6387.550,.000002436533031
1621306501,0.0,161,.015563476562500,6380.009,.000002439412947
1621306801,0.0,161,.015563476562500,6387.029,.000002436731782
1621307102,0.0,161,.015563476562500,6408.622,.000002428521539
1621307401,0.0,161,.015563476562500,6395.080,.000002433664092
1621307701,0.0,161,.015563476562500,6397.717,.000002432660988
1621308001,0.0,161,.015563476562500,6388.801,.000002436055930
1621308301,0.0,161,.015563476562500,6396.739,.000002433032919
1621308601,0.0,161,.015563476562500,6390.825,.000002435284421
1621308901,0.0,161,.015563476562500,6402.924,.000002430682694
1621309201,0.0,161,.015563476562500,6414.231,.000002426397889
1621309501,0.0,161,.015563476562500,6400.621,.000002431557275
1621309801,0.0,161,.015563476562500,6395.713,.000002433423226
1621310101,0.0,161,.015563476562500,6401.724,.000002431138325
1621310401,0.0,161,.015563476562500,6424.528,.000002422508947
1621310701,0.0,161,.015563476562500,6430.501,.000002420258788
1621311001,0.0,161,.015563476562500,6435.859,.000002418243868
1621311301,0.0,161,.015563476562500,6438.573,.000002417224525
1621314601,0.0,131,.012663085937500,6460.685,.000001960022186
1621314901,0.0,131,.012663085937500,6470.694,.000001956990384
1621315201,0.0,131,.012663085937500,6469.685,.000001957295592
1621315501,0.0,131,.012663085937500,6476.569,.000001955215166
1621315801,0.0,131,.012663085937500,6474.855,.000001955732744
1621316101,0.0,162,.015660156250000,6463.540,.000002422845105
1621316401,0.0,162,.015660156250000,6466.913,.000002421581402
1621316701,0.0,162,.015660156250000,6471.756,.000002419769263
1621317001,0.0,162,.015660156250000,6459.238,.000002424458775
1621317301,0.0,162,.015660156250000,6454.215,.000002426345612
1621317601,0.0,162,.015660156250000,6454.763,.000002426139619
1621317901,0.0,162,.015660156250000,6466.842,.000002421607988
1621318201,0.0,162,.015660156250000,6470.868,.000002420101329
1621318501,0.0,162,.015660156250000,6474.968,.000002418568902
1621318801,0.0,162,.015660156250000,6494.265,.000002411382388
1621319101,0.0,162,.015660156250000,6510.435,.000002405393226
1621319401,0.0,162,.015660156250000,6514.458,.000002403907777
1621319701,0.0,162,.015660156250000,6516.609,.000002403114296
1621320001,0.0,162,.015660156250000,6510.029,.000002405543239
1621320301,0.0,162,.015660156250000,6509.257,.000002405828537
1621320601,0.0,162,.015660156250000,6532.266,.000002397354340
1621320901,0.0,162,.015660156250000,6531.383,.000002397678447
1621321201,0.0,162,.015660156250000,6533.927,.000002396744905
1621321501,0.0,162,.015660156250000,6524.520,.000002400200512
1621321801,0.0,162,.015660156250000,6516.589,.000002403121671
1621322101,0.0,162,.015660156250000,6513.067,.000002404421181
1621322401,0.0,162,.015660156250000,6513.058,.000002404424503
1621322701,0.0,162,.015660156250000,6509.609,.000002405698445
1621323001,0.0,162,.015660156250000,6508.723,.000002406025920
1621323301,0.0,162,.015660156250000,6508.852,.000002405978235
1621323601,0.0,162,.015660156250000,6515.707,.000002403446970
1621323901,0.0,162,.015660156250000,6511.723,.000002404917446
1621324201,0.0,162,.015660156250000,6508.949,.000002405942380
1621324501,0.0,162,.015660156250000,6511.497,.000002405000916
1621324801,0.0,162,.015660156250000,6508.695,.000002406036271
1621325101,0.0,162,.015660156250000,6509.718,.000002405658163
1621325401,0.0,162,.015660156250000,6514.328,.000002403955749
1621325701,0.0,162,.015660156250000,6504.799,.000002407477348
1621326001,0.0,162,.015660156250000,6491.311,.000002412479736
1621326301,0.0,162,.015660156250000,6495.456,.000002410940240
1621326601,0.0,162,.015660156250000,6502.462,.000002408342601
1621326901,0.0,162,.015660156250000,6492.511,.000002412033841
1621327201,0.0,162,.015660156250000,6499.241,.000002409536167
1621327501,0.0,162,.015660156250000,6506.112,.000002406991495
1621327801,0.0,162,.015660156250000,6498.290,.000002409888793
1621328101,0.0,162,.015660156250000,6492.326,.000002412102573
1621328401,0.0,162,.015660156250000,6488.667,.000002413462772
1621328701,0.0,162,.015660156250000,6482.244,.000002415854177
1621329001,0.0,162,.015660156250000,6476.480,.000002418004263
1621329301,0.0,162,.015660156250000,6466.104,.000002421884375
1621329601,0.0,162,.015660156250000,6462.092,.000002423388006
1621329901,0.0,162,.015660156250000,6459.404,.000002424396469
1621330201,0.0,162,.015660156250000,6463.419,.000002422890462
1621330501,0.0,162,.015660156250000,6458.864,.000002424599163
1621330801,0.0,162,.015660156250000,6463.097,.000002423011174
1621331101,0.0,162,.015660156250000,6454.921,.000002426080233
1621331401,0.0,162,.015660156250000,6450.071,.000002427904475
1621331701,0.0,162,.015660156250000,6452.699,.000002426915659
1621332001,0.0,162,.015660156250000,6458.999,.000002424548486
1621332301,0.0,162,.015660156250000,6451.012,.000002427550320
1621332601,0.0,162,.015660156250000,6434.692,.000002433707199
1621332901,0.0,162,.015660156250000,6421.322,.000002438774484
1621333201,0.0,162,.015660156250000,6427.031,.000002436608171
1621333501,0.0,162,.015660156250000,6425.223,.000002437293810
1621333801,0.0,162,.015660156250000,6437.965,.000002432469926
1621334101,0.0,162,.015660156250000,6439.596,.000002431853838
1621334401,0.0,162,.015660156250000,6439.651,.000002431833068
1621334701,0.0,162,.015660156250000,6435.701,.000002433325639
1621335001,0.0,162,.015660156250000,6444.645,.000002429948624
1621335301,0.0,162,.015660156250000,6445.963,.000002429451774
1621335601,0.0,162,.015660156250000,6435.851,.000002433268925
1621335901,0.0,162,.015660156250000,6425.739,.000002437098090
1621336201,0.0,162,.015660156250000,6426.918,.000002436651012
1621336501,0.0,162,.015660156250000,6430.369,.000002435343329
1621336801,0.0,162,.015660156250000,6431.729,.000002434828371
1621337101,0.0,162,.015660156250000,6446.327,.000002429314592
1621337401,0.0,162,.015660156250000,6460.448,.000002424004689
1621337701,0.0,162,.015660156250000,6468.224,.000002421090588
1621338001,0.0,162,.015660156250000,6485.562,.000002414618232
1621338301,0.0,162,.015660156250000,6483.625,.000002415339605
1621338601,0.0,162,.015660156250000,6489.231,.000002413253011
1621338901,0.0,162,.015660156250000,6484.990,.000002414831210
1621339201,0.0,162,.015660156250000,6476.982,.000002417816855
1621339501,0.0,162,.015660156250000,6481.026,.000002416308197
1621339801,0.0,162,.015660156250000,6485.000,.000002414827486
1621340101,0.0,162,.015660156250000,6499.943,.000002409275935
1621340401,0.0,162,.015660156250000,6498.307,.000002409882489
1621340701,0.0,162,.015660156250000,6504.266,.000002407674632
1621341001,0.0,162,.015660156250000,6500.054,.000002409234792
1621341301,0.0,162,.015660156250000,6505.313,.000002407287128
1621341601,0.0,162,.015660156250000,6514.174,.000002404012580
1621341901,0.0,162,.015660156250000,6502.919,.000002408173352
1621342201,0.0,162,.015660156250000,6507.576,.000002406449997
1621342501,0.0,162,.015660156250000,6503.412,.000002407990797
1621342801,0.0,162,.015660156250000,6501.292,.000002408776017
1621343101,0.0,162,.015660156250000,6507.234,.000002406576473
1621343401,0.0,163,.015756835937500,6508.341,.000002421021876
1621343701,0.0,163,.015756835937500,6518.852,.000002417118219
1621344001,0.0,163,.015756835937500,6528.920,.000002413390872
1621344301,0.0,163,.015756835937500,6519.841,.000002416751564
1621344601,0.0,163,.015756835937500,6519.879,.000002416737478
1621344901,0.0,163,.015756835937500,6520.408,.000002416541409
1621345201,0.0,163,.015756835937500,6532.348,.000002412124390
1621345501,0.0,163,.015756835937500,6539.773,.000002409385759
1621345801,0.0,164,.015853515625000,6546.035,.000002421850116
1621346101,0.0,164,.015853515625000,6548.969,.000002420765104
1621346401,0.0,164,.015853515625000,6555.352,.000002418407985
1621346701,0.0,164,.015853515625000,6550.800,.000002420088481
1621347001,0.0,164,.015853515625000,6541.138,.000002423663225
1621347301,0.0,164,.015853515625000,6540.171,.000002424021577
1621347601,0.0,164,.015853515625000,6551.559,.000002419808113
1621347901,0.0,164,.015853515625000,6555.387,.000002418395073
1621348201,0.0,164,.015853515625000,6559.159,.000002417004317
1621348501,0.0,164,.015853515625000,6568.563,.000002413543970
1621348801,0.0,164,.015853515625000,6560.125,.000002416648406
1621349101,0.0,164,.015853515625000,6552.754,.000002419366822
1621349401,0.0,164,.015853515625000,6555.991,.000002418172267
1621349701,0.0,164,.015853515625000,6547.689,.000002421238336
1621350001,0.0,164,.015853515625000,6531.130,.000002427377134
1621350301,0.0,164,.015853515625000,6530.953,.000002427442920
1621350601,0.0,164,.015853515625000,6520.248,.000002431428317
1621350901,0.0,164,.015853515625000,6523.106,.000002430363024
1621351201,0.0,164,.015853515625000,6527.667,.000002428664885
1621351501,0.0,164,.015853515625000,6523.034,.000002430389850
1621351801,0.0,164,.015853515625000,6515.290,.000002433278583
1621352101,0.0,164,.015853515625000,6509.981,.000002435262963
1621352401,0.0,164,.015853515625000,6500.790,.000002438706007
1621352701,0.0,164,.015853515625000,6511.845,.000002434565875
1621353001,0.0,164,.015853515625000,6501.762,.000002438341425
1621353301,0.0,164,.015853515625000,6501.625,.000002438392805
1621353601,0.0,164,.015853515625000,6502.347,.000002438122054
1621353901,0.0,164,.015853515625000,6504.839,.000002437188011
1621354201,0.0,164,.015853515625000,6495.431,.000002440718040
1621354501,0.0,164,.015853515625000,6502.270,.000002438150926
1621354801,0.0,164,.015853515625000,6501.052,.000002438607724
1621355101,0.0,164,.015853515625000,6499.176,.000002439311633
1621355401,0.0,164,.015853515625000,6506.603,.000002436527266
1621355702,0.0,164,.015853515625000,6505.733,.000002436853099
1621356001,0.0,164,.015853515625000,6512.065,.000002434483627
1621356301,0.0,164,.015853515625000,6516.520,.000002432819300
1621356601,0.0,164,.015853515625000,6528.879,.000002428214035
